Title,Year,Genre,Runtime,Gross,imdbRating,imdbRatingVotes,metascoreRating,rottenRating,metacriticRating
Journey to the West,2013,"Action, Adventure, Comedy",110,205637183,6.7,13136,68,94,68
The Ugly Truth,2009,"Comedy, Romance",96,205599393,6.4,221927,28,14,28
JFK,1991,"Drama, History, Thriller",189,205405498,8,158682,72,85,72
Birds of Prey,2020,"Action, Comedy, Crime",109,205372791,6,242835,60,79,60
White House Down,2013,"Action, Drama, Thriller",131,205366737,6.3,225219,52,51,52
A Dog's Purpose,2017,"Adventure, Comedy, Drama",100,205035819,7.2,73917,43,35,43
Ponyo,2008,"Animation, Adventure, Comedy",101,204826668,7.6,146942,86,91,86
Fun with Dick and Jane,2005,"Comedy, Crime",90,204681899,6.2,147721,47,29,47
Eat Pray Love,2010,"Biography, Drama, Romance",133,204594016,5.8,99221,50,36,50
The Addams Family,1991,"Comedy, Fantasy",99,204394183,6.9,168266,57,67,57
Ghostbusters: Afterlife,2021,"Adventure, Comedy, Fantasy",124,204334455,7.1,185054,45,63,45
You Don't Mess with the Zohan,2008,"Action, Comedy",113,204313400,5.6,204669,54,37,54
Hairspray,2007,"Comedy, Drama, Musical",117,203627753,6.7,132236,81,92,81
King Arthur,2004,"Action, Adventure, Drama",126,203567857,6.3,170036,46,31,46
Yogi Bear,2010,"Animation, Adventure, Comedy",80,203509374,4.6,22362,35,13,35
Everest,2015,"Action, Adventure, Biography",121,203427584,7.1,221175,64,73,64
Vanilla Sky,2001,"Fantasy, Mystery, Romance",136,203388341,6.9,271662,45,43,45
Arrival,2016,"Drama, Mystery, Sci-Fi",116,203388186,7.9,703148,81,95,81
Need for Speed,2014,"Action, Thriller",132,203277636,6.4,172827,39,22,39
Garfield,2004,"Animation, Adventure, Comedy",80,203172417,5,88548,27,15,27
Patch Adams,1998,"Biography, Comedy, Drama",115,202292902,6.8,116053,25,21,25
Teenage Mutant Ninja Turtles,2014,"Action, Adventure, Comedy",101,202084756,5.8,212947,31,21,31
Kindergarten Cop,1990,"Action, Comedy, Crime",111,201957688,6.2,152444,61,53,61
Straight Outta Compton,2015,"Biography, Drama, History",147,201634991,7.8,204963,72,89,72
21 Jump Street,2012,"Action, Comedy, Crime",109,201585328,7.2,563945,69,85,69
Valkyrie,2008,"Drama, History, Thriller",121,201545517,7.1,246996,56,62,56
Open Season,2006,"Animation, Adventure, Comedy",86,200811689,6.1,98536,49,49,49
Cats & Dogs,2001,"Action, Adventure, Comedy",87,200687492,5.1,60422,47,53,47
The Hunt for Red October,1990,"Action, Adventure, Thriller",135,200512643,7.5,204101,58,88,58
Percy Jackson: Sea of Monsters,2013,"Adventure, Family, Fantasy",106,199850315,5.7,119907,39,42,39
Two Weeks Notice,2002,"Comedy, Romance",101,199043471,6.1,120327,42,42,42
RED,2010,"Action, Comedy, Crime",111,199006387,7,311876,60,71,60
Shock Wave 2,2020,"Action, Crime, Thriller",120,198921659,6.6,2501,,87,60
City of Angels,1998,"Drama, Fantasy, Romance",114,198685114,6.7,122581,54,87,54
The Pacifier,2005,"Action, Comedy, Drama",95,198636868,5.6,96186,30,21,30
50 First Dates,2004,"Comedy, Drama, Romance",99,198520934,6.8,360499,48,45,48
Total Recall,1990,"Action, Adventure, Sci-Fi",113,198467168,7.5,334928,60,83,60
The Island,2005,"Action, Sci-Fi, Thriller",136,198326350,6.8,318860,50,39,50
The Impossible,2012,"Adventure, Drama, History",114,198087212,7.5,227215,73,81,73
Lost in Thailand,2012,"Adventure, Comedy, Drama",105,197757387,6.2,3596,55,67,55
Christopher Robin,2018,"Adventure, Comedy, Drama",104,197744377,7.2,79483,60,72,60
Jack the Giant Slayer,2013,"Action, Adventure, Fantasy",114,197687603,6.3,140925,51,52,51
Smurfs: The Lost Village,2017,"Animation, Adventure, Comedy",90,197183546,6,22276,40,40,40
Chinese Doctors,2021,Drama,129,197143218,4.7,499,,40,40
Spy Kids 3: Game Over,2003,"Action, Adventure, Comedy",84,197101678,4.3,61633,57,45,57
Panic Room,2002,"Crime, Drama, Thriller",112,197079546,6.8,283225,65,76,65
The Other Woman,2014,"Comedy, Romance",109,196710396,6,143028,39,26,39
Stargate,1994,"Action, Adventure, Sci-Fi",116,196567262,7,193970,42,52,42
Beowulf,2007,"Animation, Action, Adventure",115,196393745,6.3,169669,59,71,59
The Vow,2012,"Drama, Romance",104,196114570,6.8,196796,43,31,43
Anger Management,2003,Comedy,106,195745823,6.2,218952,52,42,52
Tropic Thunder,2008,"Action, Comedy, War",107,195702963,7,421752,71,82,71
The Shape of Water,2017,"Drama, Fantasy, Romance",123,195333312,7.3,424830,87,92,87
Rocketman,2019,"Biography, Drama, Musical",121,195320400,7.3,178154,69,92,69
The Pelican Brief,1993,"Crime, Drama, Mystery",141,195268056,6.6,89322,50,54,50
The BFG,2016,"Adventure, Family, Fantasy",117,195243411,6.3,87920,66,74,66
Downton Abbey,2019,"Drama, Romance",122,194694725,7.4,58050,64,84,64
The Intern,2015,"Comedy, Drama",121,194564672,7.1,255485,51,59,51
The Curse of the Were-Rabbit,2005,"Animation, Adventure, Comedy",85,194137091,7.5,138415,87,95,87
Gnomeo & Juliet,2011,"Animation, Adventure, Comedy",84,193967670,5.9,56914,53,55,53
The Sum of All Fears,2002,"Action, Drama, Thriller",124,193921372,6.4,118625,45,59,45
Gangs of New York,2002,"Crime, Drama",167,193772504,7.5,447336,72,72,72
The Post,2017,"Biography, Drama, History",116,193764664,7.2,153700,83,88,83
The Monkey King 2,2016,"Action, Adventure, Fantasy",119,193678298,5.9,3261,,100,83
Paranormal Activity,2007,"Horror, Mystery",86,193355800,6.3,243348,68,83,68
Weathering with You,2019,"Animation, Drama, Fantasy",112,193336680,7.5,42975,72,92,72
The Lego Movie 2: The Second Part,2019,"Animation, Action, Adventure",107,192456290,6.6,68724,65,84,65
The Equalizer,2014,"Action, Crime, Thriller",132,192330738,7.2,376930,57,60,57
Sheep Without a Shepherd,2019,"Crime, Drama, Thriller",112,191602146,6.8,1618,73,100,73
The Addams Family,1991,"Comedy, Fantasy",99,191502426,6.9,168266,57,67,57
The Longest Yard,2005,"Comedy, Crime, Sport",113,191466556,6.4,182580,48,31,48
The Lost City,2022,"Action, Adventure, Comedy",112,190844029,6.1,126121,60,79,60
The Santa Clause,1994,"Comedy, Drama, Family",97,190539357,6.5,123892,57,73,57
Cheaper by the Dozen,2003,"Comedy, Family",98,190538630,5.9,103668,46,24,46
The Equalizer 2,2018,"Action, Crime, Thriller",121,190400157,6.7,163090,50,52,50
Abominable,2019,"Animation, Adventure, Comedy",97,190304772,7,39764,61,82,61
Hollow Man,2000,"Action, Horror, Sci-Fi",112,190213455,5.8,133081,24,26,24
Outbreak,1995,"Action, Drama, Thriller",127,189859560,6.6,131459,64,59,64
The White Storm 2: Drug Lords,2019,"Action, Crime",99,189396380,6,1343,,57,64
The X Files,1998,"Drama, Mystery, Sci-Fi",121,189176423,7,106949,60,66,60
Breakup Buddies,2014,"Comedy, Drama, Romance",116,189017596,6.4,1691,,66,60
Rambo III,1988,"Action, Adventure, Thriller",102,189015611,5.8,133606,36,41,36
The Secret Life of Walter Mitty,2013,"Adventure, Comedy, Drama",114,188133322,7.3,321228,54,52,54
Project Gutenberg,2018,"Action, Crime, Mystery",130,188116796,6.8,4719,,71,54
Jaws 2,1978,"Adventure, Horror, Thriller",116,187884007,5.8,79680,51,61,51
12 Years a Slave,2013,"Biography, Drama, History",134,187733202,8.1,705875,96,95,96
Heat,1995,"Action, Crime, Drama",170,187436818,8.3,661200,76,88,76
Mr. Popper's Penguins,2011,"Comedy, Family, Fantasy",94,187361754,6,99485,53,47,53
The Grudge,2004,"Horror, Mystery, Thriller",91,187281115,5.9,146580,49,40,49
One Piece Film: Red,2022,"Animation, Action, Adventure",115,187181317,6.8,8581,69,94,69
I Now Pronounce You Chuck & Larry,2007,"Comedy, Romance",115,187134117,5.9,149270,37,14,37
The Horse Whisperer,1998,"Drama, Romance, Western",169,186883563,6.7,41879,65,74,65
Walk the Line,2005,"Biography, Drama, Music",136,186797986,7.8,254053,72,82,72
Jian Bing Man,2015,Comedy,113,186699768,5.6,1256,,82,72
The Jungle Book 2,2003,"Animation, Adventure, Comedy",72,186303759,5.3,16869,38,18,38
The Final Destination,2009,"Horror, Thriller",82,186167139,5.1,108498,30,27,30
Atlantis: The Lost Empire,2001,"Animation, Action, Adventure",95,186053725,6.9,123135,52,49,52
Inside Man,2006,"Crime, Drama, Mystery",129,186003591,7.6,377706,76,86,76
The Waterboy,1998,"Comedy, Sport",90,185991646,6.1,167911,41,33,41
Hugo,2011,"Adventure, Drama, Family",126,185770310,7.5,325727,83,93,83
Pitch Perfect 3,2017,"Comedy, Music",93,185400345,5.8,65823,40,28,40
Watchmen,2009,"Action, Drama, Mystery",162,185382813,7.6,556357,56,65,56
The Birdcage,1996,Comedy,117,185260553,7.2,91759,72,82,72
Moulin Rouge!,2001,"Drama, Musical, Romance",127,184935320,7.6,288193,66,75,66
Snow White and the Seven Dwarfs,1937,"Animation, Adventure, Family",83,184925486,7.6,202346,96,75,96
Hop,2011,"Animation, Adventure, Comedy",95,184367145,5.4,35049,41,24,41
Bad Moms,2016,Comedy,100,183936074,6.2,127870,60,58,60
Jupiter Ascending,2015,"Action, Adventure, Sci-Fi",127,183887723,5.3,189890,40,28,40
Knowing,2009,"Action, Mystery, Sci-Fi",121,183658498,6.2,236818,41,34,41
102 Dalmatians,2000,"Adventure, Comedy, Family",100,183611771,4.8,38111,35,31,35
Storks,2016,"Animation, Adventure, Comedy",87,183510278,6.8,63582,56,65,56
Stand by Me Doraemon,2014,"Animation, Comedy, Drama",95,183442714,7.3,8413,,65,56
The Hitman's Bodyguard,2017,"Action, Comedy, Crime",118,183428689,6.9,234419,47,43,47
Paul Blart: Mall Cop,2009,"Action, Comedy, Crime",91,183348429,5.2,112160,39,34,39
Wayne's World,1992,"Comedy, Music",94,183097323,7,160060,57,79,57
Maverick,1994,"Action, Adventure, Comedy",127,183031272,7,113736,62,67,62
Mirror Mirror,2012,"Adventure, Comedy, Drama",106,183018522,5.6,88721,46,50,46
The Man in the Iron Mask,1998,"Action, Adventure, Drama",132,182968902,6.5,170376,48,32,48
Cape Fear,1991,"Crime, Thriller",128,182291969,7.3,199542,73,75,73
The Haunted Mansion,2003,"Comedy, Family, Fantasy",88,182290266,5.1,50582,34,14,34
The Monkey King Havoc in Heavens Palace,2014,"Action, Adventure, Family",90,182206924,4.9,5141,,14,34
While You Were Sleeping,1995,"Comedy, Drama, Romance",103,182057016,6.8,106312,67,81,67
The Bridges of Madison County,1995,"Drama, Romance",135,182016617,7.6,83522,69,90,69
From Vegas to Macau III,2016,"Comedy, Drama",113,181732879,2.6,3255,,20,69
Poseidon,2006,"Action, Adventure, Thriller",98,181674817,5.7,106465,50,33,50
The First Wives Club,1996,Comedy,103,181489203,6.4,50486,58,50,58
Cliff Walkers,2021,"Crime, Drama, Thriller",120,181325565,6.6,2410,,81,58
Scooby-Doo 2: Monsters Unleashed,2004,"Adventure, Comedy, Family",93,181239132,5.2,59807,34,22,34
Hot Shots!,1991,"Action, Comedy",84,181096164,6.7,110452,61,81,61
Road to Perdition,2002,"Crime, Drama, Thriller",117,181001478,7.7,271257,72,81,72
Kill Bill: Vol. 1,2003,"Action, Crime, Drama",111,180906076,8.2,1120738,69,85,69
The Scorpion King,2002,"Action, Adventure, Fantasy",92,180630907,5.5,140315,45,41,45
Sweet Home Alabama,2002,"Comedy, Romance",108,180622424,6.2,115833,45,38,45
Daddy's Home 2,2017,Comedy,100,180613824,6,76271,30,21,30
Hacksaw Ridge,2016,"Biography, Drama, History",139,180563636,8.1,534145,71,84,71
Deja Vu,2006,"Action, Crime, Sci-Fi",126,180557550,7.1,314288,59,56,59
Dangerous Minds,1995,"Biography, Drama",99,179519401,6.5,54041,47,33,47
The Dictator,2012,Comedy,83,179379533,6.4,312569,58,56,58
The League of Extraordinary Gentlemen,2003,"Action, Adventure, Fantasy",110,179265204,5.8,178187,30,17,30
Allegiant,2016,"Action, Adventure, Mystery",120,179246868,5.7,124971,33,11,33
Daredevil,2003,"Action, Crime",103,179179718,5.3,222040,42,43,42
City Slickers,1991,"Comedy, Western",113,179033791,6.8,59040,70,88,70
He's Just Not That Into You,2009,"Comedy, Drama, Romance",129,178866158,6.4,175849,47,41,47
Eagle Eye,2008,"Action, Mystery, Thriller",118,178767383,6.6,188920,43,26,43
Along Came Polly,2004,"Comedy, Romance",90,178311729,6,138097,44,27,44
Flushed Away,2006,"Animation, Action, Adventure",85,178281554,6.6,129333,74,73,74
Scary Movie 4,2006,Comedy,83,178262620,5.1,123269,40,34,40
Dante's Peak,1997,"Action, Adventure, Thriller",108,178127760,6,92846,43,28,43
Brokeback Mountain,2005,"Drama, Romance",134,178062759,7.7,361349,87,88,87
Patriot Games,1992,"Action, Thriller",117,178051587,6.8,114222,64,74,64
Flubber,1997,"Comedy, Family, Sci-Fi",93,177977226,5.3,90781,37,23,37
Baywatch,2017,"Action, Comedy, Crime",116,177856751,5.5,189906,37,17,37
Double Jeopardy,1999,"Crime, Drama, Mystery",105,177841558,6.5,88883,40,28,40
War Horse,2011,"Action, Adventure, Drama",146,177584879,7.2,159661,72,75,72
Paranormal Activity 2,2010,"Horror, Mystery",91,177512032,5.7,105744,53,57,53
How to Lose a Guy in 10 Days,2003,"Comedy, Romance",116,177502387,6.4,244879,45,42,45
Alien vs. Predator,2004,"Action, Adventure, Horror",101,177427090,5.6,203351,29,22,29
Hero,2002,"Action, Adventure, Drama",120,177395557,7.9,183032,85,22,85
